                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.6399,                 4.9309,                 4.3875,                 0.0006,                0.08639,                0.00042,                0.00011,                 4.8878,                 5.1441,                 4.1597,                 0.0012,                 0.0012,                 0.0012
                      2,                 4.6925,                 4.6913,                 4.3758,                0.00065,                0.09162,                0.00045,                0.00013,                 4.8924,                 5.1451,                 4.1615,              0.0024998,              0.0024998,              0.0024998
                      3,                 4.4731,                 4.6475,                 4.3106,                0.00064,                0.08901,                0.00039,                0.00012,                 4.9021,                 5.1367,                 4.1671,              0.0037992,              0.0037992,              0.0037992
                      4,                 4.1742,                 4.0931,                 4.2355,                0.00068,                0.09424,                0.00041,                0.00012,                 4.9194,                  5.119,                   4.18,              0.0050985,              0.0050985,              0.0050985
                      5,                 3.9254,                 4.1856,                 4.1032,                0.00076,                0.10471,                0.00051,                0.00014,                 4.9433,                  5.096,                  4.202,              0.0063975,              0.0063975,              0.0063975
                      6,                 3.5945,                  3.708,                 3.7049,                0.00073,                0.10209,                0.00048,                0.00014,                 5.0017,                 5.0584,                 4.2569,              0.0076962,              0.0076962,              0.0076962
                      7,                  3.531,                 3.3942,                 3.4219,                0.00073,                0.10209,                0.00048,                0.00014,                 5.0121,                 5.0055,                  4.275,              0.0089947,              0.0089947,              0.0089947
                      8,                 3.2966,                 3.1431,                 3.3905,                0.37757,                0.02356,                0.04526,                0.01263,                 4.1834,                 4.3541,                 3.8053,              0.0099931,              0.0099931,              0.0099931
                      9,                 3.2785,                 3.2295,                 3.2054,                0.26824,                0.29652,                0.19548,                0.06084,                  2.718,                 2.8248,                 3.0643,              0.0099921,              0.0099921,              0.0099921
                     10,                 3.2342,                 3.1739,                 3.2521,                0.18841,                0.36387,                0.13852,                0.03535,                 2.8075,                 8.8844,                 3.4019,              0.0099911,              0.0099911,              0.0099911
                     11,                 3.1077,                  2.752,                 2.9937,                0.13928,                0.27749,                0.08735,                0.01766,                 3.3194,                 6.5551,                 5.4124,              0.0099901,              0.0099901,              0.0099901
                     12,                 2.9391,                  2.646,                 3.0336,                0.10145,                0.51309,                0.08604,                0.01855,                 3.1189,                 1783.3,                 8.3633,              0.0099891,              0.0099891,              0.0099891
                     13,                 2.8065,                 2.4488,                 2.7971,                0.06116,                0.61257,                0.08259,                0.02216,                 2.8559,                 129.51,                 4.9246,              0.0099881,              0.0099881,              0.0099881
                     14,                 2.7301,                 2.3958,                 2.8331,                0.06105,                0.77487,                0.09882,                0.02475,                  2.545,                 85.806,                 4.1541,              0.0099871,              0.0099871,              0.0099871
                     15,                 2.5884,                 2.4564,                 2.8253,                0.09911,                0.25393,                0.06103,                0.01271,                 3.0275,                 23.537,                 3.8488,              0.0099861,              0.0099861,              0.0099861
                     16,                 2.5422,                 2.4835,                  2.738,                0.06593,                0.46073,                0.05836,                0.01901,                 2.3994,                 5.5503,                 3.2596,              0.0099851,              0.0099851,              0.0099851
