                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.5661,                  4.806,                 4.3723,                0.00073,                0.10471,                0.00051,                0.00014,                 4.8899,                 5.1459,                 4.1606,                0.00024,                0.00024,                0.00024
                      2,                 4.1875,                 4.1676,                 4.2102,                0.00072,                0.10209,                0.00048,                0.00015,                 4.9112,                 5.1338,                 4.1736,             0.00049938,             0.00049938,             0.00049938
                      3,                 3.8495,                 4.0214,                 3.9277,                 0.0007,                0.10209,                 0.0005,                0.00011,                 4.9905,                  5.096,                 4.2382,             0.00075812,             0.00075812,             0.00075812
                      4,                   3.37,                 3.3136,                 3.6253,                 0.0007,                0.10471,                0.00052,                0.00013,                  5.163,                 5.0313,                  4.409,              0.0010162,              0.0010162,              0.0010162
                      5,                 3.2446,                 3.2684,                 3.3622,                0.00142,                0.10209,                0.00086,                0.00023,                 5.3279,                 4.8148,                 4.6122,              0.0012737,              0.0012737,              0.0012737
                      6,                 3.0302,                 2.8288,                 3.0475,                0.00187,                0.08115,                0.00101,                0.00022,                  5.405,                 4.7867,                 4.7646,              0.0015305,              0.0015305,              0.0015305
                      7,                  2.874,                 2.6981,                 2.8854,                0.00079,                0.02094,                0.00043,                  9e-05,                 5.1874,                 4.7956,                 4.4839,              0.0017866,              0.0017866,              0.0017866
                      8,                 2.6989,                 2.5411,                 2.9262,                 0.1242,                0.07351,                0.02554,                0.00571,                 3.9043,                 4.1733,                  3.671,              0.0019827,              0.0019827,              0.0019827
                      9,                 2.7165,                 2.5661,                 2.7561,                0.19282,                0.20942,                0.12846,                0.03607,                 2.7651,                 2.9499,                 2.9568,              0.0019802,              0.0019802,              0.0019802
                     10,                 2.7245,                 2.5251,                 2.8318,                0.06016,                0.18848,                0.04977,                0.01395,                 2.7145,                 18.273,                 3.1167,              0.0019777,              0.0019777,              0.0019777
                     11,                 2.5967,                 2.4426,                 2.6618,                0.11264,                0.58377,                0.13302,                0.04209,                 2.4304,                 5.3899,                 3.0082,              0.0019753,              0.0019753,              0.0019753
                     12,                 2.5178,                 2.2657,                 2.6642,                0.16111,                0.13874,                0.08755,                0.02443,                 2.7349,                 4.9304,                 2.8798,              0.0019728,              0.0019728,              0.0019728
                     13,                 2.4931,                 2.1642,                 2.5277,                0.17008,                0.15183,                0.08905,                0.02521,                 2.4555,                 3.1791,                 2.7018,              0.0019703,              0.0019703,              0.0019703
                     14,                 2.4193,                 2.2098,                 2.5464,                0.20497,                    0.5,                0.18217,                0.05818,                 2.5204,                 2.5051,                 2.8354,              0.0019678,              0.0019678,              0.0019678
                     15,                 2.4602,                 2.1627,                 2.6028,                0.11596,                0.15183,                0.06742,                 0.0208,                 2.3181,                 3.3912,                 2.6151,              0.0019654,              0.0019654,              0.0019654
                     16,                 2.3145,                 2.1338,                 2.5067,                0.14275,                0.32984,                0.10501,                0.03963,                 2.2901,                 12.025,                 2.6996,              0.0019629,              0.0019629,              0.0019629
                     17,                 2.4168,                 2.1828,                 2.4403,                0.19719,                0.22513,                  0.126,                0.04294,                 2.3295,                 2.7546,                 2.6089,              0.0019604,              0.0019604,              0.0019604
                     18,                 2.3212,                 2.0545,                 2.3916,                0.37863,                0.45144,                0.38383,                0.14266,                 2.0705,                 3.5056,                 2.5164,              0.0019579,              0.0019579,              0.0019579
                     19,                 2.2805,                 2.0269,                 2.3977,                0.18811,                0.43979,                0.18239,                0.05548,                 2.2783,                  6.169,                 2.6253,              0.0019555,              0.0019555,              0.0019555
                     20,                  2.243,                 1.9347,                 2.4003,                0.38072,                 0.5488,                0.40846,                0.16116,                 1.9944,                 2.1233,                 2.3459,               0.001953,               0.001953,               0.001953
                     21,                 2.1541,                 1.9705,                 2.3792,                0.30694,                0.44868,                0.28724,                 0.1131,                 1.9737,                 2.2671,                 2.3105,              0.0019505,              0.0019505,              0.0019505
                     22,                 2.1911,                 1.8753,                 2.2988,                0.38125,                 0.5733,                 0.4347,                0.18212,                 1.9421,                 1.9241,                 2.2645,               0.001948,               0.001948,               0.001948
                     23,                 2.1311,                 1.8046,                 2.2686,                0.47692,                0.49645,                 0.5152,                0.20726,                 2.0058,                 1.9996,                 2.3371,              0.0019456,              0.0019456,              0.0019456
                     24,                 2.0825,                 1.8152,                 2.2533,                0.63183,                 0.5445,                0.63746,                0.28533,                 1.9589,                 2.0502,                 2.3047,              0.0019431,              0.0019431,              0.0019431
                     25,                 2.0661,                 1.8071,                  2.246,                0.66565,                0.59162,                0.67271,                0.29348,                  1.851,                 1.9632,                  2.219,              0.0019406,              0.0019406,              0.0019406
                     26,                 2.0101,                 1.8638,                 2.2376,                0.62757,                0.56022,                0.63006,                 0.2867,                 1.8389,                 1.7326,                 2.2393,              0.0019381,              0.0019381,              0.0019381
                     27,                 1.9667,                 1.6484,                 2.0606,                 0.5664,                0.59686,                0.63543,                0.25207,                 1.9089,                 1.7437,                  2.254,              0.0019357,              0.0019357,              0.0019357
                     28,                 1.9808,                 1.6863,                 2.1749,                0.73694,                0.67539,                0.76197,                0.37033,                 1.7549,                 1.6968,                 2.1282,              0.0019332,              0.0019332,              0.0019332
                     29,                 1.9623,                 1.7021,                 2.1634,                0.72984,                0.56577,                0.72902,                0.38213,                 1.6814,                 1.5049,                 2.0556,              0.0019307,              0.0019307,              0.0019307
                     30,                 1.8471,                 1.5596,                 2.0181,                0.68485,                0.66492,                0.75256,                0.40387,                 1.7062,                 1.5893,                 2.1003,              0.0019282,              0.0019282,              0.0019282
                     31,                 1.8637,                 1.5816,                 2.0623,                0.82402,                 0.6619,                0.80753,                  0.408,                 1.7087,                 1.4726,                 2.0804,              0.0019258,              0.0019258,              0.0019258
                     32,                 1.8649,                 1.4968,                 2.0593,                0.77101,                0.72278,                0.81139,                0.44094,                 1.6529,                 1.4869,                 2.0396,              0.0019233,              0.0019233,              0.0019233
                     33,                 1.8122,                 1.4585,                 1.9999,                0.83174,                0.74607,                0.85099,                0.43179,                 1.6588,                 1.4139,                  2.041,              0.0019208,              0.0019208,              0.0019208
                     34,                 1.7326,                  1.327,                 1.9422,                0.87852,                0.72775,                0.85247,                0.41193,                 1.6923,                 1.3083,                 2.0505,              0.0019183,              0.0019183,              0.0019183
                     35,                 1.7511,                 1.4583,                  2.017,                0.83776,                0.74346,                0.86689,                0.47867,                 1.6017,                 1.3389,                 1.9789,              0.0019159,              0.0019159,              0.0019159
